Word,DocId:Occurrence
Assembleia,"[(1, 2), (65, 1), (83, 1), (88, 4), (98, 1), (101, 1), (106, 2), (112, 1), (151, 1), (205, 1), (207, 3), (247, 1)]"
texto,"[(1, 3), (12, 3), (13, 11), (14, 1), (21, 1), (22, 1), (37, 1), (63, 1), (75, 3), (82, 2), (90, 1), (91, 5), (95, 1), (100, 1), (108, 2), (111, 2), (123, 1), (127, 1), (131, 1), (145, 1), (160, 3), (172, 1), (185, 5), (193, 1), (210, 1), (219, 1), (223, 1)]"
Defesa,"[(1, 2), (21, 1), (25, 1), (63, 4), (65, 1), (95, 1), (99, 1), (100, 2), (104, 2), (115, 3), (163, 1), (166, 1), (208, 1), (223, 1)]"
Constituição,"[(1, 1), (37, 1), (63, 1), (95, 1), (100, 1), (151, 1), (160, 1), (166, 1), (171, 3), (172, 1), (173, 4), (205, 1), (209, 4), (213, 2), (225, 1), (229, 1), (231, 1), (233, 2), (235, 2), (240, 1), (248, 1)]"
Dias,"[(1, 1), (77, 1), (106, 1), (166, 2), (181, 1), (226, 1)]"
publicação,"[(1, 1), (5, 1), (6, 1), (16, 1), (43, 2), (75, 1), (79, 6), (97, 1), (146, 1), (152, 1), (189, 1), (207, 1), (212, 1), (224, 1), (228, 1), (229, 1)]"
mataram,"[(1, 1), (154, 1), (165, 1), (166, 1), (184, 1), (241, 2)]"
com,"[(1, 14), (2, 4), (3, 21), (4, 22), (5, 6), (6, 33), (7, 35), (8, 20), (9, 16), (10, 22), (11, 40), (12, 24), (13, 30), (14, 23), (15, 20), (16, 33), (17, 16), (18, 11), (19, 43), (20, 9), (21, 9), (22, 24), (23, 13), (24, 15), (25, 38), (26, 21), (27, 8), (28, 18), (29, 31), (30, 23), (31, 31), (32, 30), (33, 19), (34, 32), (36, 30), (37, 25), (38, 2), (39, 9), (40, 9), (41, 32), (42, 24), (43, 7), (44, 2), (45, 16), (46, 18), (47, 28), (48, 1), (49, 5), (50, 7), (51, 2), (52, 5), (53, 3), (54, 4), (55, 30), (56, 16), (57, 29), (58, 15), (59, 9), (60, 41), (61, 7), (62, 1), (63, 74), (64, 9), (65, 49), (66, 20), (67, 5), (68, 3), (69, 68), (70, 16), (71, 5), (72, 2), (73, 17), (74, 2), (75, 14), (76, 21), (78, 17), (79, 8), (80, 10), (81, 6), (82, 17), (83, 6), (84, 15), (85, 1), (86, 31), (87, 21), (88, 8), (89, 18), (90, 13), (91, 4), (92, 14), (93, 19), (94, 11), (95, 15), (96, 10), (97, 15), (98, 6), (99, 23), (100, 3), (101, 19), (102, 29), (103, 27), (104, 8), (105, 18), (106, 4), (107, 31), (108, 41), (109, 30), (110, 24), (111, 25), (112, 13), (113, 8), (114, 7), (115, 33), (116, 4), (117, 14), (118, 22), (119, 18), (120, 14), (121, 19), (122, 13), (123, 10), (124, 16), (125, 37), (126, 8), (127, 8), (129, 23), (130, 35), (131, 9), (132, 15), (133, 21), (134, 18), (135, 23), (136, 5), (137, 23), (138, 25), (139, 16), (140, 30), (141, 13), (142, 16), (143, 32), (144, 17), (145, 19), (146, 14), (147, 21), (148, 12), (149, 23), (150, 20), (151, 76), (152, 33), (153, 31), (154, 13), (155, 8), (156, 25), (157, 7), (158, 14), (159, 8), (160, 22), (161, 19), (162, 25), (163, 23), (164, 23), (165, 25), (166, 85), (167, 6), (168, 15), (169, 9), (170, 4), (171, 16), (172, 21), (173, 41), (174, 10), (175, 22), (176, 8), (177, 27), (178, 23), (179, 10), (180, 22), (181, 20), (182, 17), (183, 26), (184, 29), (185, 29), (186, 16), (187, 18), (188, 14), (189, 19), (190, 29), (191, 6), (192, 4), (193, 21), (194, 18), (195, 36), (196, 27), (197, 50), (198, 37), (199, 19), (200, 7), (201, 19), (202, 3), (203, 30), (204, 24), (205, 17), (206, 9), (207, 34), (208, 40), (209, 6), (210, 27), (211, 49), (212, 14), (213, 13), (214, 19), (215, 16), (216, 19), (217, 52), (218, 8), (219, 6), (220, 9), (221, 26), (222, 14), (223, 34), (224, 21), (225, 17), (226, 12), (228, 5), (229, 19), (230, 33), (231, 3), (232, 4), (233, 8), (234, 6), (235, 17), (236, 14), (237, 3), (238, 17), (239, 32), (240, 21), (241, 12), (242, 24), (243, 14), (244, 26), (245, 26), (246, 13), (247, 10), (248, 43), (249, 92)]"
política,"[(1, 1), (5, 1), (7, 5), (8, 1), (15, 3), (19, 1), (20, 1), (23, 2), (24, 6), (29, 3), (32, 8), (33, 5), (34, 4), (37, 1), (47, 3), (50, 2), (63, 5), (66, 1), (69, 9), (77, 1), (78, 2), (83, 1), (84, 2), (86, 4), (87, 1), (88, 1), (90, 2), (92, 1), (95, 3), (99, 2), (101, 1), (102, 1), (103, 2), (105, 1), (107, 2), (108, 1), (113, 1), (115, 5), (119, 1), (121, 1), (124, 1), (129, 4), (132, 3), (133, 1), (138, 5), (140, 1), (144, 5), (146, 2), (150, 1), (152, 9), (154, 2), (158, 1), (161, 1), (163, 2), (165, 7), (166, 8), (168, 4), (171, 1), (173, 7), (189, 1), (193, 1), (198, 1), (199, 2), (201, 1), (204, 6), (205, 2), (207, 1), (210, 5), (211, 2), (215, 1), (216, 1), (217, 3), (218, 2), (221, 7), (222, 1), (224, 1), (225, 2), (235, 7), (236, 1), (247, 1), (248, 7)]"
disse,"[(1, 4), (4, 2), (5, 1), (6, 2), (8, 2), (10, 1), (11, 1), (13, 3), (17, 1), (19, 4), (24, 1), (25, 1), (26, 2), (28, 1), (37, 1), (39, 1), (40, 3), (41, 2), (42, 1), (45, 2), (49, 2), (55, 2), (58, 4), (63, 7), (64, 2), (69, 5), (70, 4), (73, 1), (75, 1), (77, 2), (79, 3), (80, 3), (82, 4), (93, 2), (94, 1), (95, 2), (96, 1), (97, 2), (98, 1), (102, 2), (103, 3), (106, 1), (111, 4), (112, 1), (113, 2), (114, 1), (115, 1), (117, 3), (118, 1), (119, 1), (122, 4), (124, 1), (136, 1), (151, 2), (158, 2), (160, 1), (164, 1), (166, 2), (172, 2), (173, 1), (193, 1), (195, 6), (196, 2), (197, 2), (198, 1), (205, 3), (208, 1), (209, 3), (212, 1), (213, 1), (214, 1), (215, 3), (217, 1), (218, 2), (220, 1), (222, 1), (223, 1), (225, 1), (226, 1), (228, 1), (230, 4), (231, 1), (232, 2), (233, 2), (235, 7), (237, 2), (238, 4), (240, 3), (241, 2), (242, 1), (246, 1), (247, 2), (249, 4)]"
